EmployerName,DiffMedianHourlyPercent
Academies Enterprise Trust,34.6
Ark Schools,18
Delta Academies Trust,47.8
Glf Schools,34.3
Greenwood Academies Trust,37.8
Harris Federation,18.9
Oasis Community Learning,17.3
Ormiston Academies Trust,43.2
Oxford Diocesan Schools Trust,23.7
Plymouth Cast,7
Reach2 Academy Trust,30.7
The Bath And Wells Diocesan Academies Trust,36.6
The David Ross Education Trust,37.4
The Diocese Of Ely Multi-Academy Trust,23
The Diocese Of Norwich Education And Academies Trust,42.3
The Elliot Foundation Academies Trust,28.9
The Enquire Learning Trust,27.4
The Kemnal Academies Trust,33.9
United Learning Trust,16.9
